Date,symbol,name,open,high,low,close,volume,vix,rsi,ma5,ma20,earnings_dday
2025-04-04,AAPL,애플,193.0486144227304,199.01262630823254,186.52703508606032,187.56253051757812,125910900,45.310001373291016,30.77729923253895,211.23534545898437,215.6257110595703,0
2025-04-07,AAPL,애플,176.43103817745248,193.30748067285785,173.86223225537526,180.6725616455078,160466300,46.97999954223633,28.387534004677136,203.1366424560547,213.3346969604492,0
2025-04-08,AAPL,애플,185.88979780340043,189.51400113284038,168.4757067407598,171.67176818847656,120859500,52.33000183105469,22.8092356619715,193.02670288085938,210.9242027282715,0
2025-04-09,AAPL,애플,171.20381523449285,199.7394480269994,171.14407803694525,197.98709106445312,184395900,33.619998931884766,42.67038394254673,188.04043884277343,210.02163619995116,0
2025-04-10,AAPL,애플,188.24952597387417,193.9347385570105,182.205859833413,189.59365844726562,121880000,40.720001220703125,37.14100766788119,185.49752197265624,209.06281509399415,0
2025-04-11,AAPL,애플,185.29243322025624,198.67409816298056,185.25259829067514,197.29013061523438,87435900,37.560001373291016,40.058116263295936,187.4430419921875,208.29914398193358,0
2025-04-14,AAPL,애플,210.52244846919626,212.01593914767514,200.28706023476008,201.6411590576172,101352900,30.889999389648438,40.76234335125129,191.6367614746094,207.72763442993164,0
2025-04-15,AAPL,애플,200.98401841430368,202.62685207462172,198.93296032454862,201.26280212402344,51343900,30.1200008392334,41.42566762306819,197.55496826171876,207.20242309570312,0
2025-04-16,AAPL,애플,197.49921927320653,199.82906121923162,191.5352073519423,193.42697143554688,59732400,32.63999938964844,37.53161277169542,196.6429443359375,206.15847396850586,0
2025-04-17,AAPL,애플,196.34424488667963,197.9671763411939,193.5763099497932,196.1251983642578,52164700,29.649999618530273,40.93430100428625,197.94925231933593,205.3061882019043,0
2025-04-21,AAPL,애플,192.43131586910098,192.9590147372882,188.98632373298676,192.32179260253906,46742500,33.81999969482422,37.40105772146667,196.95558471679686,204.05613708496094,0
2025-04-22,AAPL,애플,195.26894368988752,200.715208155226,195.1196006832811,198.8732452392578,52976400,30.56999969482422,40.26890811881969,196.402001953125,203.01119155883788,0
2025-04-23,AAPL,애플,205.10606155750318,207.09738254349836,201.9199510184256,203.71214294433594,52929200,28.450000762939453,42.26234297874056,196.8918701171875,202.05784759521484,0
2025-04-24,AAPL,애플,204.00086522918792,207.92376976062596,202.05933042602183,207.46575927734375,47311000,26.469999313354492,52.40438014420746,199.6996276855469,201.40270233154297,0
2025-04-25,AAPL,애플,205.47445049920006,208.8397878176709,205.30519003897632,208.371826171875,38222300,24.84000015258789,61.138344822674505,202.14895324707032,200.67736282348633,0
2025-04-28,AAPL,애플,209.08871177088434,210.5822025692478,206.55974070372147,209.2281036376953,38743100,25.149999618530273,66.34001468964715,205.53021545410155,200.2910469055176,0
2025-04-29,AAPL,애플,207.78437328663372,211.3189707788267,207.4657546631633,210.29344177246094,36827600,24.170000076293945,74.30756695958685,207.8142547607422,199.7474151611328,0
2025-04-30,AAPL,애플,208.39175489829196,212.65318081121782,205.77316280594096,211.57786560058594,52286500,24.700000762939453,62.48857613252275,209.38739929199218,199.21523513793946,0
2025-05-01,AAPL,애플,208.17271138967982,213.62892699621815,207.99348458901505,212.39431762695312,57365700,24.600000381469727,74.34103486180189,210.37311096191405,198.68903045654298,0
2025-05-02,AAPL,애플,205.19567188008233,206.0917754590827,201.2827333487594,204.45889282226562,101010600,22.68000030517578,57.61422504468259,209.59052429199218,198.79656295776368,0
2025-05-05,AAPL,애플,202.21865389928206,203.21431440062256,197.34987465543003,198.02691650390625,69018500,23.639999389648438,46.32368256613206,207.35028686523438,199.31978225708008,0
2025-05-06,AAPL,애플,197.3498735756035,199.77927242381972,196.16503515467957,197.6485595703125,51216500,24.760000228881836,46.32368256613206,204.8213104248047,200.1685821533203,0
2025-05-07,AAPL,애플,198.30570335142838,198.574535944944,192.41139491378883,195.39837646484375,68536700,23.549999237060547,52.26233710745567,201.58541259765624,201.35491256713868,0
2025-05-08,AAPL,애플,196.86199326420865,199.18188402861682,193.83517686729027,196.63299560546875,50478900,22.479999542236328,50.602991638675384,198.4331481933594,201.28720779418944,0
2025-05-09,AAPL,애플,198.1364339272832,199.6697443694255,196.6827629534363,197.66847229003906,36453900,21.899999618530273,56.79572334889523,197.07506408691407,201.69094848632812,0
2025-05-12,AAPL,애플,210.32994399020487,210.62903686932515,206.12274573806786,210.15048217773438,63775800,18.389999389648438,62.45577241412088,199.4997772216797,202.33396606445314,0
2025-05-13,AAPL,애플,209.7915962682986,212.7525871854542,208.36594186281494,212.2840118408203,51909300,18.219999313354492,60.06944718292945,202.42686767578124,202.8661087036133,0
2025-05-14,AAPL,애플,211.78550901932945,213.29093762104833,209.94113079478424,211.68582153320312,49325800,18.6200008392334,55.354277598634596,205.68435668945312,203.38725967407225,0
2025-05-15,AAPL,애플,210.3099886465303,212.31390017581901,208.90426284202815,210.8084716796875,45029500,17.829999923706055,53.09379095173478,208.5194519042969,204.2563346862793,0
